a.m.;abbr;ˌeɪˈɛm;ранок;до полудня
ability ; n ; əˈbɪlɪti ; здатність, уміння  
definitely; adv.; ˈdefɪnətli; безумовно
degree; n.; dɪˈɡriː; ступінь
delighted; adj.; dɪˈlaɪtɪd; захоплений
deliver; v.; dɪˈlɪvər; доставляти
delivery; n.; dɪˈlɪvəri; доставка
demand; n., v.; dɪˈmɑːnd; вимога; вимагати
demonstration; n.; ˌdemənˈstreɪʃn; демонстрація
dentist; n.; ˈdentɪst; дантист
depart; v.; dɪˈpɑːrt; відправлятися
department; n.; dɪˈpɑːrtmənt; відділ
departure; n.; dɪˈpɑːrtʃər; відправлення
depend; v.; dɪˈpend; залежати
deposit; n., v.; dɪˈpɒzɪt; депозит; вносити депозит
depth; n.; depθ; глибина
description; n.; dɪˈskrɪpʃn; опис
desert; n.; ˈdezərt; пустеля
deserve; v.; dɪˈzɜːrv; заслуговувати
design; n., v.; dɪˈzaɪn; дизайн; розробляти
desk; n.; desk; письмовий стіл
despite; prep.; dɪˈspaɪt; незважаючи на
dessert; n.; dɪˈzɜːrt; десерт
destination; n.; ˌdestɪˈneɪʃn; пункт призначення
destroy; v.; dɪˈstrɔɪ; руйнувати
detail; n.; ˈdiːteɪl; деталь
detective; n.; dɪˈtektɪv; детектив
develop; v.; dɪˈveləp; розвивати
diagram; n.; ˈdaɪəɡræm; діаграма
dial; v.; ˈdaɪəl; набирати номер
diary; n.; ˈdaɪəri; щоденник
dictionary; n.; ˈdɪkʃənəri; словник
die; v.; daɪ; помирати
diet; n.; ˈdaɪət; дієта
differ; v.; ˈdɪfər; відрізнятися
difference; n.; ˈdɪfrəns; різниця
different; adj.; ˈdɪfrənt; різний
difficult; adj.; ˈdɪfɪkəlt; важкий
difficulty; n.; ˈdɪfɪkəlti; трудність
dig; v.; dɪɡ; копати
digital; adj.; ˈdɪdʒɪtl; цифровий
dining room; n.; ˈdaɪnɪŋ ruːm; їдальня
dinner; n.; ˈdɪnər; вечеря
diploma; n.; dɪˈpləʊmə; диплом
direct; adj., v.; dəˈrekt; прямий; керувати
direction; n.; dəˈrekʃn; напрямок
director; n.; dəˈrektər; директор
directory; n.; dəˈrektəri; довідник
disabled; adj.; dɪˈseɪbld; інвалід
disadvantage; n.; ˌdɪsədˈvɑːntɪdʒ; недолік
disagree; v.; ˌdɪsəˈɡriː; не погоджуватися
disappear; v.; ˌdɪsəˈpɪər; зникати
disappoint; v.; ˌdɪsəˈpɔɪnt; розчаровувати
disc; n.; dɪsk; диск
discount; n.; ˈdɪskaʊnt; знижка
discover; v.; dɪˈskʌvər; відкривати
discuss; v.; dɪˈskʌs; обговорювати
discussion; n.; dɪˈskʌʃn; обговорення
disease; n.; dɪˈziːz; хвороба
disgusting; adj.; dɪˈskʌstɪŋ; огидний
dish; n.; dɪʃ; страва, тарілка
dishwasher; n.; ˈdɪʃwɒʃər; посудомийна машина
disk; n.; dɪsk; диск
dislike; v., n.; dɪˈslaɪk; не любити; неприязнь
display; v., n.; dɪˈspleɪ; показувати; дисплей
distance; n.; ˈdɪstəns; відстань
distant; adj.; ˈdɪstənt; далекий
district; n.; ˈdɪstrɪkt; район
disturb; v.; dɪˈstɜːrb; турбувати
dive; v., n.; daɪv; пірнати; пірнання
divide; v.; dɪˈvaɪd; ділити
dizzy; adj.; ˈdɪzi; запаморочений
DJ; n.; ˈdiːdʒeɪ; ді-джей
do; v.; duː; робити
doctor; n.; ˈdɒktər; лікар
document; n.; ˈdɒkjumənt; документ
documentary; adj., n.; ˌdɒkjuˈmentri; документальний; документальний фільм
dog; n.; dɒɡ; собака
doll; n.; dɒl; лялька
dollar; n.; ˈdɒlər; долар
dolphin; n.; ˈdɒlfɪn; дельфін
door; n.; dɔːr; двері
double; adj., v.; ˈdʌbl; подвійний; подвоювати
doubt; n., v.; daʊt; сумнів; сумніватися
down; adv., prep.; daʊn; вниз
download; v.; daʊnˈləʊd; завантажувати
downstairs; adv.; daʊnˈsteərz; внизу
dozen; n.; ˈdʌzn; дюжина
Dr; n.; ˈdɒktər; доктор
drama; n.; ˈdrɑːmə; драма
draw; v.; drɔː; малювати
dream; n., v.; driːm; мрія; мріяти
dress; n., v.; dres; сукня; одягатися
dressing; n.; ˈdresɪŋ; заправка (для салату), перев'язка
drink; n., v.; drɪŋk; напій; пити
drive; v., n.; draɪv; водити; поїздка
driving licence; n.; ˈdraɪvɪŋ ˈlaɪsns; водійське посвідчення
drop; v., n.; drɒp; крапля; падати
drugstore; n.; ˈdrʌɡstɔːr; аптека
drum; n.; drʌm; барабан
dry cleaning; n.; ˈdraɪ ˈkliːnɪŋ; хімчистка
dry; adj., v.; draɪ; сухий; сушити
duck; n.; dʌk; качка
due to; prep.; dʒuː tuː; через, завдяки
due; adj.; dʒuː; належний
dull; adj.; dʌl; нудний
during; prep.; ˈdjʊərɪŋ; протягом
dust; n.; dʌst; пил
dustbin; n.; ˈdʌstbɪn; сміттєвий бак
duty-free; adj.; ˌdjuːtiˈfriː; безмитний
duty; n.; ˈdjuːti; обов'язок, мито
duvet; n.; duːˈveɪ; пухова ковдра
DVD player; n.; diːviːˈdiː ˈpleɪər; DVD-програвач
DVD; n.; diːviːˈdiː; DVD-диск
each; det., pron.; iːtʃ; кожен
ear; n.; ɪər; вухо
earache; n.; ˈɪəreɪk; біль у вусі
early; adj., adv.; ˈɜːrli; ранній; рано
earn; v.; ɜːrn; заробляти
earring; n.; ˈɪərɪŋ; сережка
earth; n.; ɜːrθ; земля
east; n., adj.; iːst; схід; східний
eastern; adj.; ˈiːstərn; східний
easy; adj.; ˈiːzi; легкий
eat; v.; iːt; їсти
economics; n.; ˌiːkəˈnɒmɪks; економіка
edge; n.; edʒ; край
educate; v.; ˈedʒukeɪt; навчати
education; n.; ˌedʒuˈkeɪʃn; освіта
effect; n.; ɪˈfekt; ефект
efficient; adj.; ɪˈfɪʃnt; ефективний
effort; n.; ˈefərt; зусилля
egg; n.; eɡ; яйце
either; det., pron.; ˈaɪðər; або
elderly; adj.; ˈeldərli; літній
elect; v.; ɪˈlekt; обирати
election; n.; ɪˈlekʃn; вибори
electric; adj.; ɪˈlektrɪk; електричний
electrical; adj.; ɪˈlektrɪkl; електричний
electricity; n.; ˌɪlekˈtrɪsəti; електрика
electronic; adj.; ˌelekˈtrɒnɪk; електронний
elementary; adj.; ˌelɪˈmentri; елементарний
elephant; n.; ˈelɪfənt; слон
else; adv.; els; інакше
email; n., v.; ˈiːmeɪl; електронна пошта; писати електронний лист
embarrassed; adj.; ɪmˈbærəst; збентежений
embarrassing; adj.; ɪmˈbærəsɪŋ; бентежний
embassy; n.; ˈembəsi; посольство
emergency; n.; ɪˈmɜːrdʒənsi; надзвичайна ситуація
employ; v.; ɪmˈplɔɪ; наймати на роботу
employee; n.; ɪmˈplɔɪiː; працівник
employment; n.; ɪmˈplɔɪmənt; робота, зайнятість
empty; adj.; ˈempti; порожній
encourage; v.; ɪnˈkʌrɪdʒ; заохочувати
end up; v.; end ʌp; опинитися
end; n., v.; end; кінець; закінчувати
enemy; n.; ˈenəmi; ворог
engaged; adj.; ɪnˈɡeɪdʒd; заручений
engineer; n.; ˌendʒɪˈnɪər; інженер
enjoy; v.; ɪnˈdʒɔɪ; насолоджуватися
enormous; adj.; ɪˈnɔːrməs; величезний
enough; det., pron., adv.; ɪˈnʌf; достатньо
enquiry; n.; ɪnˈkwaɪəri; запит
enter; v.; ˈentər; входити
entertain; v.; ˌentəˈteɪn; розважати
entertaining; adj.; ˌentəˈteɪnɪŋ; розважальний
entertainment; n.; ˌentəˈteɪnmənt; розвага
entrance; n.; ˈentrəns; вхід
entry; n.; ˈentri; вхід, запис
envelope; n.; ˈenvələʊp; конверт
environment; n.; ɪnˈvaɪrənmənt; навколишнє середовище
equal; adj.; ˈiːkwəl; рівний
equipment; n.; ɪˈkwɪpmənt; обладнання
escalator; n.; ˈeskəleɪtər; ескалатор
escape; v., n.; ɪˈskeɪp; втікати; втеча
especially; adv.; ɪˈspeʃəli; особливо
essay; n.; ˈeseɪ; есе
essential; adj.; ɪˈsenʃl; важливий
Euro; n.; ˈjʊərəʊ; євро
euro; n.; ˈjʊərəʊ; євро
even; adv., adj.; ˈiːvn; навіть; рівний
evening; n.; ˈiːvnɪŋ; вечір
event; n.; ɪˈvent; подія
ever; adv.; ˈevər; коли-небудь
every; det.; ˈevri; кожний
everybody; pron.; ˈevribɒdi; кожен
everyone; pron.; ˈevriwʌn; кожен
everything; pron.; ˈevriθɪŋ; все
everywhere; adv.; ˈevriweər; всюди
exact; adj.; ɪɡˈzækt; точний
exam; n.; ɪɡˈzæm; іспит
examination; n.; ɪɡˌzæmɪˈneɪʃn; іспит
examine; v.; ɪɡˈzæmɪn; оглядати, досліджувати
example; n.; ɪɡˈzɑːmpl; приклад
excellent; adj.; ˈeksələnt; чудовий
except; prep., conj.; ɪkˈsept; крім
exchange rate; n.; ɪksˈtʃeɪndʒ reɪt; обмінний курс
exchange; n., v.; ɪksˈtʃeɪndʒ; обмін; обмінювати
excited; adj.; ɪkˈsaɪtɪd; збуджений
excitement; n.; ɪkˈsaɪtmənt; збудження
exciting; adj.; ɪkˈsaɪtɪŋ; захоплюючий
excuse; n., v.; ɪkˈskjuːz; вибачення; вибачати
exercise; n., v.; ˈeksərsaɪz; вправа; вправлятися
exhibition; n.; ˌeksəˈbɪʃn; виставка
exist; v.; ɪɡˈzɪst; існувати
exit; n., v.; ˈeksɪt; вихід; виходити
expect; v.; ɪkˈspekt; очікувати
expedition; n.; ˌekspəˈdɪʃn; експедиція
expensive; adj.; ɪkˈspensɪv; дорогий
experience; n., v.; ɪkˈspɪəriəns; досвід; відчувати
experiment; n., v.; ɪkˈsperɪmənt; експеримент; експериментувати
expert; n., adj.; ˈekspɜːrt; експерт; досвідчений
explain; v.; ɪkˈspleɪn; пояснювати
explanation; n.; ˌekspləˈneɪʃn; пояснення
explode; v.; ɪkˈspləʊd; вибухати
explore; v.; ɪkˈsplɔːr; досліджувати
extra; adj., n.; ˈekstrə; додатковий; додаток
extraordinary; adj.; ɪkˈstrɔːrdnri; надзвичайний
extremely; adv.; ɪkˈstriːmli; надзвичайно
eye; n.; aɪ; око
face; n.; feɪs; обличчя
fact; n.; fækt; факт
factory; n.; ˈfæktəri; фабрика
fail; v.; feɪl; зазнавати невдачі
failure; n.; ˈfeɪljər; невдача
faint; adj., v.; feɪnt; слабкий; знепритомніти
fair; adj.; feər; справедливий
fairly; adv.; ˈfeərli; досить
faithfully; adv.; ˈfeɪθfəli; вірно
fall; v., n.; fɔːl; падати; падіння
false; adj.; fɔːls; хибний
familiar; adj.; fəˈmɪliər; знайомий
family; n.; ˈfæməli; сім'я
famous; adj.; ˈfeɪməs; відомий
fan; n.; fæn; вентилятор, фанат
fantastic; adj.; fænˈtæstɪk; фантастичний
far; adv.; fɑːr; далеко
fare; n.; feər; плата за проїзд
farm; n.; fɑːrm; ферма
fascinate; v.; ˈfæsɪneɪt; захоплювати
fashion; n.; ˈfæʃn; мода
fast; adj., adv.; fæst; швидкий; швидко
fasten; v.; ˈfɑːsn; застібати
fat; adj., n.; fæt; жирний; жир
father; n.; ˈfɑːðər; батько
fault; n.; fɔːlt; вина
favour; n.; ˈfeɪvər; послуга
favourite; adj., n.; ˈfeɪvərɪt; улюблений; улюбленець
fax; n., v.; fæks; факс; відправляти факс
fear; n., v.; fɪər; страх; боятися
fee; n.; fiː; плата
feed; v.; fiːd; годувати
feel like; v.; fiːl laɪk; хотіти
feel; v.; fiːl; відчувати
fence; n.; fens; паркан
ferry; n.; ˈferi; пором
festival; n.; ˈfestɪvl; фестиваль
fetch; v.; fetʃ; приносити
fever; n.; ˈfiːvər; жар
few; det., pron.; fjuː; мало
fiance; n.; fiˈɑːnseɪ; наречений
fiction; n.; ˈfɪkʃn; художня література
field; n.; fiːld; поле
fight; v., n.; faɪt; боротися; боротьба
figure; n., v.; ˈfɪɡjər; цифра; вважати
fill in; v.; fɪl ɪn; заповнювати (бланк)
fill up; v.; fɪl ʌp; заповнювати (повністю)
fill; v.; fɪl; заповнювати
film maker; n.; ˈfɪlm ˈmeɪkər; кінорежисер
film star; n.; ˈfɪlm stɑːr; кінозірка
film; n.; fɪlm; фільм
final; adj.; ˈfaɪnl; заключний
financial; adj.; faɪˈnænʃl; фінансовий
find out; v.; faɪnd aʊt; з'ясувати
find; v.; faɪnd; знаходити
fine; adj.; faɪn; чудовий
finger; n.; ˈfɪŋɡər; палець
finish; v., n.; ˈfɪnɪʃ; закінчувати; кінець
fire; n.; faɪər; вогонь
firefighter; n.; ˈfaɪərfaɪtər; пожежник
firm; n., adj.; fɜːrm; фірма; твердий
first; adj., adv.; fɜːrst; перший; спочатку
fish; n.; fɪʃ; риба
fit; adj., v.; fɪt; підходити; бути у формі
fitness; n.; ˈfɪtnəs; фізична форма
fix; v.; fɪks; ремонтувати
flag; n.; flæɡ; прапор
flat; adj., n.; flæt; плоский; квартира
flight attendant; n.; ˈflaɪt əˈtendənt; бортпровідник
flight; n.; flaɪt; політ
float; v.; fləʊt; плавати (на поверхні)
flood; n., v.; flʌd; повінь; затоплювати
floor; n.; flɔːr; підлога
flour; n.; ˈflaʊər; борошно
flow; v., n.; fləʊ; текти; потік
flower; n.; ˈflaʊər; квітка
flu; n.; fluː; грип
flute; n.; fluːt; флейта
fly; v., n.; flaɪ; літати; муха
fog; n.; fɒɡ; туман
fold; v., n.; fəʊld; складати; складка
folk; n.; fəʊk; народ
follow; v.; ˈfɒləʊ; слідувати
following; adj., n.; ˈfɒləʊɪŋ; наступний; послідовність
fond; adj.; fɒnd; ніжний, люблячий
fool; n.; fuːl; дурень
foot; n.; fʊt; ступня
football; n.; ˈfʊtbɔːl; футбол
for; prep., conj.; fɔːr; для, за
forbid; v.; fəˈbɪd; забороняти
force; n., v.; fɔːrs; сила; змушувати
forecast; n., v.; ˈfɔːrkɑːst; прогноз; прогнозувати
foreign; adj.; ˈfɒrən; іноземний
foreigner; n.; ˈfɒrənər; іноземець
forest; n.; ˈfɒrɪst; ліс
forever; adv.; fəˈrevər; назавжди
forget; v.; fəˈɡet; забувати
forgive; v.; fəˈɡɪv; прощати
fork; n.; fɔːrk; виделка
form; n., v.; fɔːrm; форма; формувати
former; adj.; ˈfɔːrmər; колишній
fortnight; n.; ˈfɔːrtnaɪt; два тижні
fortunately; adv.; ˈfɔːrtʃənətli; на щастя
forward; adv.; ˈfɔːrwərd; вперед
fountain; n.; ˈfaʊntn; фонтан
free; adj.; friː; вільний
freeze; v.; friːz; замерзати
freezer; n.; ˈfriːzər; морозильна камера
French fries; n.; frentʃ fraɪz; картопля фрі
frequent; adj.; ˈfriːkwənt; частий
fresh; adj.; freʃ; свіжий
fridge; n.; frɪdʒ; холодильник
friend; n.; frend; друг
frighten; v.; ˈfraɪtn; лякати
from; prep.; frɒm; від
front; n.; frʌnt; перед
frontier; n.; frʌnˈtɪər; кордон
frost; n.; frɒst; мороз
fruit; n.; fruːt; фрукт
fry; v.; fraɪ; смажити
frying pan; n.; ˈfraɪɪŋ pæn; сковорода
fuel; n.; ˈfjuːəl; паливо
full time; adj.; fʊl taɪm; повний робочий день
full-time; adj.; fʊlˈtaɪm; повний робочий день
full; adj.; fʊl; повний
fun; n.; fʌn; веселощі
funny; adj.; ˈfʌni; смішний
furnished; adj.; ˈfɜːrnɪʃt; мебльований
furniture; n.; ˈfɜːrnɪtʃər; меблі
further; adj., adv.; ˈfɜːrðər; далі; далі
future; n.; ˈfjuːtʃər; майбутнє
gallery; n.; ˈɡæləri; галерея
gap; n.; ɡæp; проміжок
garage; n.; ɡəˈrɑːʒ; гараж
garden; n.; ˈɡɑːrdn; сад
gas; n.; ɡæs; газ
gate; n.; ɡeɪt; ворота
general; adj.; ˈdʒenrəl; загальний
generation; n.; ˌdʒenəˈreɪʃn; покоління
generous; adj.; ˈdʒenərəs; щедрий
gentle; adj.; ˈdʒentl; ніжний
gentleman; n.; ˈdʒentlmən; джентльмен
geography; n.; dʒiˈɒɡrəfi; географія
get along; v.; ɡet əˈlɒŋ; ладнати
get back; v.; ɡet bæk; повертатися
get down; v.; ɡet daʊn; спускатися
get in; v.; ɡet ɪn; заходити
get off; v.; ɡet ɒf; виходити
get on; v.; ɡet ɒn; сідати (в транспорт), ладнати
get rid of; v.; ɡet rɪd ɒv; позбутися
get up; v.; ɡet ʌp; вставати
get; v.; ɡet; отримувати
giraffe; n.; dʒɪˈrɑːf; жираф
girl; n.; ɡɜːrl; дівчина
girlfriend; n.; ˈɡɜːrlfrend; дівчина
give back; v.; ɡɪv bæk; повертати
give in; v.; ɡɪv ɪn; здаватися
give up; v.; ɡɪv ʌp; здаватися
give way; v.; ɡɪv weɪ; поступатися
give; v.; ɡɪv; давати
glad; adj.; ɡlæd; радий
glance; v., n.; ɡlɑːns; кидати погляд; погляд
glass; n.; ɡlɑːs; скло, склянка
glasses; n.; ˈɡlɑːsɪz; окуляри
global warming; n.; ˌɡləʊbl ˈwɔːrmɪŋ; глобальне потепління
glove; n.; ɡlʌv; рукавичка
go for; v.; ɡəʊ fɔːr; йти за, вибирати
go off; v.; ɡəʊ ɒf; спрацьовувати, псуватися
go on; v.; ɡəʊ ɒn; продовжувати
go; v.; ɡəʊ; йти
goal; n.; ɡəʊl; мета
goat; n.; ɡəʊt; коза
gold; n.; ɡəʊld; золото
golf; n.; ɡɒlf; гольф
good-looking; adj.; ɡʊdˈlʊkɪŋ; гарний
good; adj.; ɡʊd; хороший
goodnight; int.; ɡʊdˈnaɪt; добраніч
goods; n.; ɡʊdz; товари
govern; v.; ˈɡʌvərn; керувати
government; n.; ˈɡʌvərnmənt; уряд
grade; n.; ɡreɪd; оцінка
gram; n.; ɡræm; грам
grammar; n.; ˈɡræmər; граматика
grand; adj.; ɡrænd; великий, чудовий
grandchild; n.; ˈɡræntʃaɪld; онук, онука
granddaughter; n.; ˈɡrænderːtər; онука
grandfather; n.; ˈɡrænfɑːðər; дідусь
grandma; n.; ˈɡrænmɑː; бабуся
grandmother; n.; ˈɡrænmʌðər; бабуся
grandpa; n.; ˈɡrænpɑː; дідусь
grandparent; n.; ˈɡrænpeərənt; дідусь або бабуся
grandson; n.; ˈɡrænsʌn; онук
grant; n., v.; ɡrɑːnt; грант; надавати
grape; n.; ɡreɪp; виноград
grass; n.; ɡrɑːs; трава
grateful; adj.; ˈɡreɪtfl; вдячний
great; adj.; ɡreɪt; чудовий
green; adj., n.; ɡriːn; зелений; зелень
greengrocer; n.; ˈɡriːnɡrəʊsər; продавець овочів та фруктів
grey; adj.; ɡreɪ; сірий
grill; n., v.; ɡrɪl; гриль; смажити на грилі
grocer; n.; ˈɡrəʊsər; бакалійник
ground; n.; ɡraʊnd; земля
group; n.; ɡruːp; група
grow up; v.; ɡrəʊ ʌp; виростати
grow; v.; ɡrəʊ; рости
guard; n., v.; ɡɑːrd; охоронець; охороняти
guess; v., n.; ɡes; здогадуватися; здогадка
guest-house; n.; ˈɡesthaʊs; гостьовий будинок
guest; n.; ɡest; гість
guide; n., v.; ɡaɪd; гід; водити
guidebook; n.; ˈɡaɪdbʊk; путівник
guilty; adj.; ˈɡɪlti; винний
guitar; n.; ɡɪˈtɑːr; гітара
gum; n.; ɡʌm; жуйка
guy; n.; ɡaɪ; хлопець
gym; n.; dʒɪm; спортивний зал
please.; phr.; pliːz; будь ласка
tonight?; phr.; təˈnaɪt; сьогодні ввечері?
go with; phr.; ɡəʊ wɪð; йти з кимось
habit; n.; ˈhæbɪt; звичка
hair; n.; heər; волосся
haircut; n.; ˈheəkʌt; стрижка
hairdresser; n.; ˈheədresər; перукар
hairdryer; n.; ˈheədraɪər; фен
half; n., adj.; hɑːf; половина; половинний
hall; n.; hɔːl; хол
hallo; int.; həˈləʊ; привіт
hammer; n., v.; ˈhæmər; молоток; забивати молотком
hand in; v.; hænd ɪn; здавати
hand out; v.; hænd aʊt; роздавати
hand-held; adj.; hændˈheld; ручний
hand; n.; hænd; рука
handbag; n.; ˈhændbæɡ; сумочка
handkerchief; n.; ˈhæŋkətʃiːf; носова хустка
handle; n., v.; ˈhændl; ручка; поводитися
handsome; adj.; ˈhænsəm; красивий (про чоловіка)
handwriting; n.; ˈhændraɪtɪŋ; почерк
hang; v.; hæŋ; висіти
happen; v.; ˈhæpən; траплятися
happy; adj.; ˈhæpi; щасливий
harbour; n.; ˈhɑːrbər; гавань
hard; adj., adv.; hɑːrd; важкий; важко
hardly; adv.; ˈhɑːrdli; навряд чи
hat; n.; hæt; капелюх
hate; v., n.; heɪt; ненавидіти; ненависть
have got; v.; hæv ɡɒt; мати
have; v.; hæv; мати
he; pron.; hiː; він
head; n.; hed; голова
headache; n.; ˈhedeɪk; головний біль
headline; n.; ˈhedlaɪn; заголовок
health; n.; helθ; здоров'я
hear; v.; hɪər; чути
heart; n.; hɑːrt; серце
heat; n.; hiːt; тепло
heavy; adj.; ˈhevi; важкий
hedge; n.; hedʒ; живопліт
height; n.; haɪt; висота
helicopter; n.; ˈhelɪkɒptər; гелікоптер
hello; int.; həˈləʊ; привіт
helmet; n.; ˈhelmɪt; шолом
help; v., n.; help; допомагати; допомога
her; pron.; hɜːr; її
here; adv.; hɪər; тут
hero; n.; ˈhɪərəʊ; герой
hers; pron.; hɜːrz; її (чий?)
herself; pron.; hərˈself; сама
hide; v.; haɪd; ховати
high; adj.; haɪ; високий
hill; n.; hɪl; пагорб
him; pron.; hɪm; його
himself; pron.; hɪmˈself; сам
hire; v.; ˈhaɪər; наймати
his; pron.; hɪz; його
historic; adj.; hɪˈstɒrɪk; історичний (видатний)
historical; adj.; hɪˈstɒrɪkl; історичний (той, що стосується історії)
history; n.; ˈhɪstri; історія
hit; v., n.; hɪt; вдаряти; удар
hitch-hike; v.; ˈhɪtʃhaɪk; подорожувати автостопом
hobby; n.; ˈhɒbi; хобі
hockey; n.; ˈhɒki; хокей
hold up; v.; həʊld ʌp; затримувати
hold; v., n.; həʊld; тримати; утримання
hole; n.; həʊl; діра
holiday; n.; ˈhɒlədeɪ; свято
home; n., adv.; həʊm; дім; додому
homepage; n.; ˈhəʊmpeɪdʒ; домашня сторінка
homework; n.; ˈhəʊmwɜːrk; домашнє завдання
honest; adj.; ˈɒnɪst; чесний
honey; n.; ˈhʌni; мед
hope; v., n.; həʊp; сподіватися; надія
horrible; adj.; ˈhɒrəbl; жахливий
horse; n.; hɔːrs; кінь
hospital; n.; ˈhɒspɪtl; лікарня
hostel; n.; ˈhɒstl; хостел
hot; adj.; hɒt; гарячий
hotel; n.; həʊˈtel; готель
hour; n.; ˈaʊər; година
house; n.; haʊs; будинок
housewife; n.; ˈhaʊswaɪf; домогосподарка
housework; n.; ˈhaʊswɜːrk; робота по дому
hovercraft; n.; ˈhɒvərkrɑːft; судно на повітряній подушці
how much; phr.; haʊ mʌtʃ; скільки
how; adv.; haʊ; як
however; adv., conj.; haʊˈevər; проте, однак
huge; adj.; hjuːdʒ; величезний
human; adj., n.; ˈhjuːmən; людський; людина
hunger; n.; ˈhʌŋɡər; голод
hungry; adj.; ˈhʌŋɡri; голодний
hurry; v., n.; ˈhʌri; поспішати; поспіх
hurt; v.; hɜːrt; боліти, завдавати болю
husband; n.; ˈhʌzbənd; чоловік
hut; n.; hʌt; хатина
hydrofoil; n.; ˈhaɪdrəʊfɔɪl; судно на підводних крилах
I; pron.; aɪ; я
ice cream; n.; ˈaɪs kriːm; морозиво
ice hockey; n.; ˈaɪs ˈhɒki; хокей з шайбою
ice; n.; aɪs; лід
idea; n.; aɪˈdɪə; ідея
identity; n.; aɪˈdentəti; ідентичність
if; conj.; ɪf; якщо
ill; adj.; ɪl; хворий
illness; n.; ˈɪlnəs; хвороба
imagination; n.; ɪˌmædʒɪˈneɪʃn; уява
imagine; v.; ɪˈmædʒɪn; уявляти
immediate; adj.; ɪˈmiːdiət; негайний
immediately; adv.; ɪˈmiːdiətli; негайно
immigration; n.; ˌɪmɪˈɡreɪʃn; імміграція
import; v., n.; ˈɪmpɔːrt; імпортувати; імпорт
importance; n.; ɪmˈpɔːrtns; важливість
important; adj.; ɪmˈpɔːrtnt; важливий
impossible; adj.; ɪmˈpɒsəbl; неможливий
improve; v.; ɪmˈpruːv; покращувати
in advance; phr.; ɪn ədˈvɑːns; заздалегідь
in any case; phr.; ɪn ˈeni keɪs; у будь-якому випадку
in case of; phr.; ɪn keɪs ɒv; у разі
in danger; phr.; ɪn ˈdeɪndʒər; в небезпеці
in fact; phr.; ɪn fækt; насправді
in front of; phr.; ɪn frʌnt ɒv; перед
in half; phr.; ɪn hɑːf; навпіл
in ink; phr.; ɪn ɪŋk; чорнилом
in love; phr.; ɪn lʌv; закоханий
in order to; phr.; ɪn ˈɔːrdər tuː; для того щоб
in order; phr.; ɪn ˈɔːrdər; в порядку
in pencil; phr.; ɪn ˈpensl; олівцем
in pieces; phr.; ɪn ˈpiːsɪz; на шматки
in place; phr.; ɪn pleɪs; на місці
in private; phr.; ɪn ˈpraɪvət; приватно
in public; phr.; ɪn ˈpʌblɪk; публічно
in stock; phr.; ɪn stɒk; в наявності
in the end; phr.; ɪn ðiː end; врешті-решт
in time; phr.; ɪn taɪm; вчасно
in turn; phr.; ɪn tɜːrn; по черзі
in two; phr.; ɪn tuː; на два
in; prep.; ɪn; в
include; v.; ɪnˈkluːd; включати
income; n.; ˈɪnkʌm; дохід
incorrect; adj.; ˌɪnkəˈrekt; неправильний
increase; v., n.; ɪnˈkriːs; збільшувати; збільшення
indeed; adv.; ɪnˈdiːd; дійсно
independent; adj.; ˌɪndɪˈpendənt; незалежний
index; n.; ˈɪndeks; індекс
individual; adj., n.; ˌɪndɪˈvɪdʒuəl; індивідуальний; особистість
indoor; adj.; ˈɪndɔːr; внутрішній
indoors; adv.; ɪnˈdɔːrz; всередині
industry; n.; ˈɪndəstri; промисловість
influence; n., v.; ˈɪnfluːəns; вплив; впливати
inform; v.; ɪnˈfɔːrm; інформувати
information; n.; ˌɪnfəˈmeɪʃn; інформація
ingredients; n.; ɪnˈɡriːdiənts; інгредієнти
inhabitant; n.; ɪnˈhæbɪtənt; мешканець
initial; adj.; ɪˈnɪʃl; початковий
ink; n.; ɪŋk; чорнило
inn; n.; ɪn; готель, трактир
inquiry; n.; ɪnˈkwaɪəri; запит
insect; n.; ˈɪnsekt; комаха
inside; prep., adv.; ɪnˈsaɪd; всередині
insist; v.; ɪnˈsɪst; наполягати
instance; n.; ˈɪnstəns; випадок
instead of; phr.; ɪnˈsted ɒv; замість
instead; adv.; ɪnˈsted; натомість
instruction; n.; ɪnˈstrʌkʃn; інструкція
instructor; n.; ɪnˈstrʌktər; інструктор
instrument; n.; ˈɪnstrəmənt; інструмент
insure; v.; ɪnˈʃʊər; страхувати
intelligent; adj.; ɪnˈtelɪdʒənt; розумний
intend; v.; ɪnˈtend; мати намір
intermediate; adj.; ˌɪntərˈmiːdiət; середній
international; adj.; ˌɪntərˈnæʃnəl; міжнародний
internet; n.; ˈɪntərnet; інтернет
interpret; v.; ɪnˈtɜːrprɪt; тлумачити
interrupt; v.; ˌɪntəˈrʌpt; переривати
interval; n.; ˈɪntərvl; інтервал
into; prep.; ˈɪntuː; в
introduce; v.; ˌɪntrəˈdʒuːs; представляти
introduction; n.; ˌɪntrəˈdʌkʃn; вступ
invade; v.; ɪnˈveɪd; вторгатися
invasion; n.; ɪnˈveɪʒn; вторгнення
invent; v.; ɪnˈvent; винаходити
invention; n.; ɪnˈvenʃn; винахід
invitation; n.; ˌɪnvɪˈteɪʃn; запрошення
invite; v.; ɪnˈvaɪt; запрошувати
involve; v.; ɪnˈvɒlv; залучати
iron; n., v.; ˈaɪərn; праска; прасувати
island; n.; ˈaɪlənd; острів
issue; n., v.; ˈɪʃuː; питання; видавати
